Metro Area,ZHVI_2024,YoY_Change_2024,Median_Income_2024,Price_to_Income_Ratio
United States,367965,0.2,,
New York NY,713066,3.7,78000.0,9.141871794871795
Los Angeles CA,959206,-0.8,72000.0,13.322305555555555
Chicago IL,346252,3.5,68000.0,5.091941176470589
Dallas TX,369096,-3.9,67000.0,5.50889552238806
Houston TX,310886,-1.9,65000.0,4.782861538461538
Washington DC,584722,1.2,95000.0,6.154968421052631
Philadelphia PA,386721,3.6,72000.0,5.371125
Miami FL,472814,-4.6,58000.0,8.15196551724138
Atlanta GA,384607,-3.1,69000.0,5.574014492753623
Boston MA,731359,1.3,89000.0,8.217516853932585
Phoenix AZ,448513,-3.5,64000.0,7.008015625
San Francisco CA,1127650,-3.8,119000.0,9.476050420168066
Riverside CA,585417,-2.1,,
Detroit MI,268642,3.8,58000.0,4.631758620689655
Seattle WA,751156,-0.8,94000.0,7.9910212765957445
Minneapolis MN,391089,2.2,78000.0,5.013961538461539
San Diego CA,925599,-2.6,83000.0,11.15179518072289
Tampa FL,361115,-6.2,60000.0,6.018583333333333
Denver CO,580664,-2.9,85000.0,6.8313411764705885
Baltimore MD,403552,2.3,81000.0,4.982123456790124
St. Louis MO,271010,2.3,65000.0,4.169384615384615
Orlando FL,389304,-4.3,62000.0,6.279096774193548
Charlotte NC,388523,-0.9,71000.0,5.4721549295774645
San Antonio TX,283286,-3.1,61000.0,4.644032786885246
Portland OR,553771,-0.8,75000.0,7.383613333333333
Sacramento CA,582942,-2.2,76000.0,7.67028947368421
Pittsburgh PA,232771,1.8,63000.0,3.694777777777778
Cincinnati OH,302039,2.8,67000.0,4.508044776119403
Austin TX,437456,-6.0,78000.0,5.608410256410257
Las Vegas NV,436129,-0.03,63000.0,6.9226825396825395
Kansas City MO,321289,2.3,72000.0,4.462347222222222
Columbus OH,330779,1.5,71000.0,4.658859154929577
Indianapolis IN,292165,1.8,66000.0,4.426742424242424
Cleveland OH,248038,4.7,62000.0,4.000612903225806
San Jose CA,1582065,-1.6,130000.0,12.16973076923077
Nashville TN,455758,-0.2,72000.0,6.3299722222222226
Virginia Beach VA,365519,2.0,78000.0,4.686141025641025
Providence RI,511889,2.9,73000.0,7.012178082191781
Jacksonville FL,352549,-3.4,69000.0,5.1094057971014495
Milwaukee WI,376538,3.2,67000.0,5.6199701492537315
Oklahoma City OK,242586,1.0,65000.0,3.732092307692308
Raleigh NC,444585,-2.2,89000.0,4.995337078651685
Memphis TN,244072,-0.7,58000.0,4.208137931034483
Richmond VA,388023,1.3,78000.0,4.9746538461538465
Louisville KY,271943,3.9,64000.0,4.249109375
New Orleans LA,256244,-1.0,61000.0,4.20072131147541
Salt Lake City UT,560958,1.7,82000.0,6.8409512195121955
Hartford CT,393092,4.5,85000.0,4.624611764705882
Buffalo NY,283377,3.7,68000.0,4.167308823529412
Birmingham AL,257127,0.1,65000.0,3.9558
